Date,Category,Merchant,Amount
2026-06-01,Food & Dining,Zomato Delivery,850.00
2026-06-02,Shopping,Amazon Retail,2400.00
2026-06-03,Subscriptions,Netflix Premium,649.00
2026-06-04,Miscellaneous,Uber Ride,350.00
2026-06-05,Food & Dining,Starbucks Cafe,450.00
2026-06-07,Shopping,Myntra Clothing,3200.00
2026-06-08,Subscriptions,Spotify Premium,119.00
2026-06-09,Food & Dining,Swiggy Instamart,1200.00
2026-06-10,Miscellaneous,Pharmacy Supplies,550.00
2026-06-12,Shopping,Nike Store,6500.00
2026-06-15,Food & Dining,Bistro Dinner,3800.00
2026-06-18,Miscellaneous,Movie Tickets,800.00
